status_id,status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
2831,3,3949,529,512,262,432,92,3,1,1,0
2830,1,3917,150,0,0,150,0,0,0,0,0
2829,3,3921,227,236,57,204,21,1,1,0,0
2828,1,3920,111,0,0,111,0,0,0,0,0
2827,1,3832,213,0,0,204,9,0,0,0,0
2826,1,3831,217,6,0,211,5,1,0,0,0
2825,3,3826,503,614,72,418,70,10,2,0,3
2824,3,3818,295,453,53,260,32,1,1,0,1
2823,1,3810,203,1,0,198,5,0,0,0,0
2822,1,3747,170,9,1,167,3,0,0,0,0
2821,1,3718,210,2,3,202,7,1,0,0,0
2820,1,4292,222,4,0,213,5,4,0,0,0
2819,1,4262,313,4,2,305,6,2,0,0,0
2818,1,4259,209,4,0,200,8,1,0,0,0
2817,1,4191,346,11,0,335,10,1,0,0,0
2816,3,3700,332,100,30,303,23,1,5,0,0
2815,3,3533,135,256,79,117,18,0,0,0,0
2814,3,3438,150,173,47,132,16,1,0,1,0
2813,3,3364,221,166,36,192,28,0,1,0,0
2812,1,3333,152,2,0,149,3,0,0,0,0
2811,1,3323,234,15,1,221,12,1,0,0,0
2810,1,3319,227,7,1,217,7,2,1,0,0
2809,1,3284,98,0,0,96,0,2,0,0,0
2808,3,3280,18,0,0,18,0,0,0,0,0
2807,1,3278,102,0,0,100,0,2,0,0,0
2806,3,3245,37,0,1,37,0,0,0,0,0
2805,3,3219,75,36,14,70,5,0,0,0,0
2804,3,3217,90,78,9,85,5,0,0,0,0
2803,1,3105,145,9,0,138,7,0,0,0,0
2802,3,3681,253,300,31,229,22,1,1,0,0
2801,1,3678,85,0,0,81,2,2,0,0,0
2800,3,3623,45,14,0,40,5,0,0,0,0
2799,1,3632,92,0,0,85,4,2,1,0,0
2798,1,3631,125,1,0,116,8,1,0,0,0
2797,1,3591,119,4,0,116,3,0,0,0,0
2796,1,3584,293,8,0,281,11,1,0,0,0
2795,3,3269,128,137,26,110,16,2,0,0,0
2794,1,2920,84,15,13,78,5,1,0,0,0
2793,1,2915,66,11,6,61,4,1,0,0,0
2792,3,2878,171,292,28,150,19,1,1,0,0
2791,3,2845,90,72,23,79,10,1,0,0,0
2790,3,2767,139,39,9,121,16,1,1,0,0
2789,3,2717,236,181,21,201,33,0,1,0,1
2788,3,2711,225,210,34,193,30,0,2,0,0
2787,1,2694,275,12,0,260,11,4,0,0,0
2786,3,2697,372,456,37,334,31,1,1,1,4
2785,1,2663,445,9,0,419,23,3,0,0,0
2784,3,2642,128,60,11,114,13,0,0,0,1
2783,3,2609,186,235,46,163,19,0,3,0,1
2782,3,2594,309,444,36,254,42,2,8,3,0
2781,1,2574,77,11,3,75,2,0,0,0,0
2780,3,2558,119,72,28,103,16,0,0,0,0
2779,1,3032,100,21,13,95,5,0,0,0,0
2778,3,3023,240,255,111,193,44,1,1,0,1
2777,3,3001,164,136,48,146,15,2,0,1,0
2776,3,2984,202,327,42,171,30,1,0,0,0
2775,3,2972,211,284,46,186,25,0,0,0,0
2774,3,2951,148,114,16,136,10,0,2,0,0
2773,3,2942,97,81,16,84,13,0,0,0,0
2772,3,2746,279,292,34,254,20,3,1,1,0
2771,1,2744,263,8,0,245,14,4,0,0,0
2770,3,2742,177,193,34,151,25,1,0,0,0
2769,1,364,517,32,1,484,26,7,0,0,0
2768,3,361,289,258,33,256,33,0,0,0,0
2767,1,322,66,13,0,65,1,0,0,0,0
2766,1,321,112,6,0,104,8,0,0,0,0
2765,3,331,206,259,48,181,22,1,2,0,0
2764,3,310,362,468,86,305,56,0,0,1,0
2763,3,274,184,130,51,161,23,0,0,0,0
2762,3,255,216,251,34,199,16,0,0,0,1
2761,3,254,57,0,0,56,1,0,0,0,0
2760,3,241,272,258,43,226,44,1,1,0,0
2759,3,216,248,247,34,208,33,3,2,0,2
2758,3,221,132,89,40,110,20,1,0,0,1
2757,3,193,226,341,41,196,30,0,0,0,0
2756,3,192,35,1,0,35,0,0,0,0,0
2755,3,181,219,316,36,170,46,3,0,0,0
2754,3,175,94,1,1,94,0,0,0,0,0
2753,3,164,259,368,50,234,25,0,0,0,0
2752,3,149,62,1,0,62,0,0,0,0,0
2751,3,148,127,76,21,114,13,0,0,0,0
2750,3,144,149,63,15,134,15,0,0,0,0
2749,3,100,134,171,41,116,18,0,0,0,0
2748,3,54,392,461,47,360,32,0,0,0,0
2747,3,31,310,540,41,284,26,0,0,0,0
2746,1,204,14,3,0,12,2,0,0,0,0
2745,1,2245,293,6,1,275,15,3,0,0,0
2744,1,2169,236,12,0,226,8,1,1,0,0
2743,1,2107,312,10,0,291,18,3,0,0,0
2742,1,1764,24,12,0,24,0,0,0,0,0
2741,0,2488,16,9,0,15,1,0,0,0,0
2740,1,2466,33,12,0,32,1,0,0,0,0
2739,1,2410,675,10,0,645,29,1,0,0,0
2738,1,2397,737,18,0,697,31,9,0,0,0
2737,1,2332,572,16,0,554,16,2,0,0,0
2736,1,1398,23,7,0,20,3,0,0,0,0
2735,1,1370,266,25,0,250,11,5,0,0,0
2734,3,1364,378,512,30,348,27,2,0,0,1
2733,3,1256,421,709,30,373,45,2,0,1,0
2732,3,1254,1493,1979,753,1333,139,9,3,8,1
2731,1,1193,76,17,0,76,0,0,0,0,0
2730,1,1715,36,11,0,34,2,0,0,0,0
2729,1,1326,19,8,0,18,0,0,1,0,0
2728,1,962,27,10,0,27,0,0,0,0,0
2727,1,899,117,2,53,108,9,0,0,0,0
2726,1,898,146,1,0,145,1,0,0,0,0
2725,1,885,166,0,13,151,7,0,0,8,0
2724,1,884,190,0,31,171,0,0,0,19,0
2723,1,872,217,16,0,213,4,0,0,0,0
2722,1,870,458,14,0,451,3,4,0,0,0
2721,1,854,553,15,0,538,12,3,0,0,0
2720,1,853,203,18,11,190,7,6,0,0,0
2719,1,827,1005,25,1,979,16,9,1,0,0
2718,3,813,202,145,23,182,19,0,0,0,1
2717,1,815,428,14,0,419,4,5,0,0,0
2716,1,804,479,17,0,462,10,7,0,0,0
2715,3,802,212,116,11,201,10,1,0,0,0
