tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4
2.959060025,3.0798852039999995,8.381025392,9.780754432,3.763084772,-0.782603631,-1.25739483,-1.723086311,0.650456461,0.859578106,0.8874449209999999,0.958033988
9.304097235,4.902524112,3.047540728,1.369357355,5.067812104,-1.940058427,-1.872741686,-1.255011992,0.4134405679999999,0.862414076,0.5621390510000001,0.781759911
8.971706909,8.848428421,3.046478749,1.214518138,3.40515818,-1.207455592,-1.277210147,-0.920492441,0.163041039,0.766688657,0.839444015,0.109853245
0.7164147759999999,7.669599644,4.486640831,2.340562984,3.963791063,-1.027473304,-1.938944153,-0.997373606,0.446208907,0.976744083,0.929380523,0.362717774
3.134111552,7.608771616,4.943759302,9.85757327,3.525810817,-1.125530955,-1.845974854,-0.5543050079999999,0.797109526,0.455449947,0.656946658,0.820923486
6.999208709,9.109246716,3.784065909,4.267787603,4.429668823,-1.857139177,-0.670396827,-1.902132818,0.2617928539999999,0.077929672,0.542883859,0.469931041
6.710166367999999,3.765204184,6.929314439,8.818561922999999,2.397419229,-0.614589562,-1.208825891,-0.574003776,0.177889561,0.39797658,0.402045952,0.376630279
6.953511558,1.379125002,5.71940003,7.870307426,3.2244951580000003,-0.748997751,-1.186516928,-1.288980478,0.3713848529999999,0.633203555,0.7327408940000001,0.380544479
4.689851927,4.007747462,1.478572876,3.733787492,4.041299614,-1.410344312,-1.238204276,-1.392751026,0.269708271,0.250364217,0.164941119,0.482439411
9.841496488,1.413821592,9.769855549,7.641616262999999,4.727595042,-1.991363368,-0.857637207,-1.878594467,0.376355981,0.544415316,0.792039425,0.1162628219999999
5.930110117999999,6.730873374,6.2451379010000005,0.533287513,2.327091593,-0.702501235,-1.11691963,-0.507670728,0.239815633,0.5631095939999999,0.164461028,0.753701356
5.381299257,8.014521017,8.095174157,6.769247699,5.507551005,-1.972713854,-1.84933258,-1.6855045709999998,0.359974025,0.173568817,0.349143851,0.628860424
1.6167868369999998,2.939228107,0.8197911859999999,4.191803848999999,3.752281914,-1.484884545,-1.280581451,-0.986815918,0.8996982490000001,0.8665457959999999,0.303920578,0.077610126
